referral_id|taxonomy_to_find|to_feed_to_algo|recommended_cluster_labels|correct_labels|cluster_order|recommendation_time
71964097|LH-2700.2500|['JP-1500.1700-150', 'TJ-3200.5000 * YF-3000.2193', 'TJ-3200.5000']|[(137,), (115,), (49,), (40,), (None,)]|True|0|0:00:00.119229
75257156|RP-1500.1400-250|['RP-1500.1400-250', 'RP-1500.1400-800', 'RP-1500.1400-800', 'RF-8380 * YH-6000.2100']|[(115,), (40,), (194,), (112,), (None,)]|True|2|0:00:00.088134
67461423|BV-9000.1500|['NL-1000.2600', 'PH-3300.1800', 'BV-8900', 'DT-8500.3300']|[(67,), (137,), (142,), (None,), (195,)]|False|-1|0:00:00.310963
71224422|FT-4500.1800|['TJ-3200.4500 * YZ-3150', 'BH-3800.7000', 'BH-3800.7000']|[(67,), (37,), (153,), (142,), (10,)]|True|0|0:00:00.403433
63326116|LD-1700|['BD-1800.2000', 'BD-1800.2000', 'BD-1800.2000', 'BD-1800.2000']|[(10,), (37,), (None,), (67,), (137,)]|False|-1|0:00:00.230003
82670581|PH-3300.6500|['PH-3300.6500', 'PH-0500', 'PH-3300.3000']|[(137,), (195,), (49,), (None,), (62,)]|True|1|0:00:00.099985
59753354|HL-8695|['HL-8700.3000 * YE-3500', 'HL-8700.8000 * YF-5000.1700-100', 'PS-9800.9900', 'HL-8700.8000', 'HL-8700.8000']|[(30,), (153,), (80,), (67,), (None,)]|False|-1|0:00:00.100285
59456779|PH-6100.6600 * YF-5000.1700-100|['TJ-6500.6300 * YF-5000.2100']|[]|False|-1|0:00:00.014843
69117061|FT-4500.8550|['BH-3900.3100', 'TJ-3000.8000 * YZ-3150', 'RP-1500.1400-500']|[(67,), (31,), (115,), (40,), (None,)]|True|0|0:00:00.324418
67298019|TD-6600.6500-450|['BH-3900.3100', 'BV-8900', 'BV-8900']|[(67,), (31,), (40,), (142,), (None,)]|False|-1|0:00:00.314241
74517268|PH-2400.7000 * YB-8000|['PH-2400.3300']|[(137,), (49,), (None,), (195,), (26,)]|False|-1|0:00:00.090463
62699352|JD-1500.4500|['FN-1700.6700']|[(117,), (110,), (8,), (None,), (67,)]|False|-1|0:00:00.069382
81849209|BT-4500.6500-800|['BT-4500.6500-800', 'LH-0600.5000', 'LH-0650.0350', 'BH-7000.5100-330', 'BH-7000.5100-330', 'BH-7000.5100-330', 'BH-7000.5100-330', 'BT-4500.6500-170', 'BH-7000.8100-280', 'PH-1000']|[(137,), (5,), (None,), (195,), (67,)]|True|0|0:00:00.087827
81601851|BH-3000.1800|['BH-3000.1800', 'BH-3000.3550']|[(67,), (142,), (None,), (44,), (153,)]|True|3|0:00:00.258091
72733502|NS-1900|['TJ-3200.2500-200']|[(110,), (142,), (None,), (67,), (8,)]|True|0|0:00:00.078924
72625858|NS-1900 * YF-3000.2193|['NS-1900 * YF-3000.2193', 'NT-8900 * YF-3000.2193', 'NT-8900 * YF-3000.2193']|[]|False|-1|0:00:00.016040
65756028|LD-1700|['TJ-3200.5000']|[(137,), (49,), (40,), (None,), (195,)]|True|1|0:00:00.104684
68088065|NT-8900|['FP-4000']|[(67,), (182,), (125,), (153,), (None,)]|False|-1|0:00:00.273887
79981373|PH-2950.1500|['PH-2950.1500', 'BD-1800.2000', 'NT-8900', 'NT-8900', 'BM-8500']|[(10,), (37,), (145,), (None,), (67,)]|True|0|0:00:00.264339
67498018|FJ-6700.1900|['FF-0500.6550-050']|[(125,), (81,), (None,), (182,), (90,)]|True|0|0:00:00.052176
63123460|FP-4500 * YX-0600.9100|['FT-4800', 'PH-1000', 'FP-4500 * YJ-8750', 'TJ-3000.8000 * YF-1800']|[(67,), (153,), (101,), (90,), (None,)]|False|-1|0:00:00.296754
68721718|PH-0780 * YJ-4000|['RP-1400.8000-270', 'BH-3900.3100', 'NS-1800.8000-820', 'PH-1000 * YB-8000']|[(67,), (137,), (129,), (None,), (153,)]|False|-1|0:00:00.317118
71193139|DF-7000.1850|['DF-7000.1840']|[(142,), (59,), (None,), (110,), (137,)]|True|0|0:00:00.061383
64027760|BH-3900.3100|['BH-3900.3100', 'BH-3900.3100', 'BH-7000.4600', 'BH-7000.4600']|[(67,), (31,), (40,), (5,), (None,)]|True|0|0:00:00.299706
80273201|PH-2950.3200 * YB-9500.1500|['PH-2950.1500']|[(10,), (37,), (None,), (67,), (93,)]|False|-1|0:00:00.213415
67167015|PH-3300.6500|['PH-3300.3000']|[(137,), (195,), (49,), (None,), (62,)]|True|1|0:00:00.096302
68445522|TC-1700|['BD-5000.1470']|[(10,), (37,), (None,), (93,), (67,)]|True|1|0:00:00.218232
74911129|RP-1400.8000-020.80|['RP-1500.1400-800', 'RP-1400.8000-825', 'TD-1600.3100-550']|[(40,), (194,), (96,), (115,), (137,)]|True|0|0:00:00.074366
74184731|PH-8000|['RX-8470.1900-610', 'PH-8000 * YZ-6910', 'RX-8470.6900']|[(67,), (153,), (None,), (182,), (5,)]|True|0|0:00:00.115727
73926333|RP-1500.1400-750 * YS-2000.9500|['RP-1400.8000-800 * YS-2000.9500', 'RP-1500.1400-750', 'RP-1400.8000-800']|[(67,), (137,), (31,), (115,), (None,)]|True|0|0:00:00.338827
81521391|TJ-3200.2500-650 * YC-1700|['NS-1800.8000-820', 'NL-5000.2600 * YC-1700']|[(153,), (129,), (67,), (None,), (10,)]|True|1|0:00:00.080425
81014915|PH-2950.3200 * YB-9500.1500|['PH-2950.1500']|[(10,), (37,), (None,), (67,), (93,)]|False|-1|0:00:00.213766
70638973|DF-7000.8200|['DF-7000.1850']|[(117,), (8,), (142,), (None,), (110,)]|True|4|0:00:00.109013
66503985|LJ-2000.6750 * YB-9500|['LJ-2000.6500-650 * YB-9500', 'LJ-2000.0100-050', 'LJ-2000.0100-050', 'BH-3900.3100 * YK-6500.8500', 'FT-1020 * YK-6500.6600-550', 'TJ-3000.8500', 'RP-1500.1400-250 * YB-9500', 'BM-6500.1500-500', 'RP-1400.8000-050', 'BM-6500.1500-100']|[(31,), (115,), (4,), (None,), (194,)]|False|-1|0:00:00.109282
